ingredient,period,forecasted_usage,unit,trend_strength,r_squared,slope,forecast_type
rice noodles,2025-11-01,112020.0,g,weak,0.0983737067285817,-4208.571428571428,linear_trend
rice noodles,2025-12-01,107811.42857142858,g,weak,0.0983737067285817,-4208.571428571428,linear_trend
rice noodles,2026-01-01,103602.85714285716,g,weak,0.0983737067285817,-4208.571428571428,linear_trend
braised beef used,2025-11-01,88976.0,g,weak,0.13180716690439442,-3604.0,linear_trend
braised beef used,2025-12-01,85372.0,g,weak,0.13180716690439442,-3604.0,linear_trend
braised beef used,2026-01-01,81768.0,g,weak,0.13180716690439442,-3604.0,linear_trend
braised chicken,2025-11-01,82508.0,g,weak,0.01693030552392416,-1229.142857142857,linear_trend
braised chicken,2025-12-01,81278.85714285714,g,weak,0.01693030552392416,-1229.142857142857,linear_trend
braised chicken,2026-01-01,80049.71428571429,g,weak,0.01693030552392416,-1229.142857142857,linear_trend
braised pork,2025-11-01,66120.0,g,weak,0.16231067087094375,3268.5714285714284,linear_trend
braised pork,2025-12-01,69388.57142857142,g,weak,0.16231067087094375,3268.5714285714284,linear_trend
braised pork,2026-01-01,72657.14285714286,g,weak,0.16231067087094375,3268.5714285714284,linear_trend
boychoy,2025-11-01,41846.66666666666,g,weak,0.08220527737977457,-1412.8571428571431,linear_trend
boychoy,2025-12-01,40433.80952380952,g,weak,0.08220527737977457,-1412.8571428571431,linear_trend
boychoy,2026-01-01,39020.952380952374,g,weak,0.08220527737977457,-1412.8571428571431,linear_trend
pickle cabbage,2025-11-01,16456.666666666668,units,moderate,0.6326299453247209,-4417.142857142857,linear_trend
pickle cabbage,2025-12-01,12039.52380952381,units,moderate,0.6326299453247209,-4417.142857142857,linear_trend
pickle cabbage,2026-01-01,7622.380952380954,units,moderate,0.6326299453247209,-4417.142857142857,linear_trend
green onion,2025-11-01,35886.666666666664,units,weak,0.00011161651541735651,40.0,linear_trend
green onion,2025-12-01,35926.666666666664,units,weak,0.00011161651541735651,40.0,linear_trend
green onion,2026-01-01,35966.666666666664,units,weak,0.00011161651541735651,40.0,linear_trend
cilantro,2025-11-01,29085.333333333332,units,weak,0.06475832146850335,-882.2857142857143,linear_trend
cilantro,2025-12-01,28203.04761904762,units,weak,0.06475832146850335,-882.2857142857143,linear_trend
cilantro,2026-01-01,27320.761904761905,units,weak,0.06475832146850335,-882.2857142857143,linear_trend
rice,2025-11-01,119023.33333333334,g,strong,0.747013661337993,16140.0,linear_trend
rice,2025-12-01,135163.33333333334,g,strong,0.747013661337993,16140.0,linear_trend
rice,2026-01-01,151303.33333333334,g,strong,0.747013661337993,16140.0,linear_trend
white onion,2025-11-01,6801.333333333334,units,strong,0.747013661337993,922.2857142857143,linear_trend
white onion,2025-12-01,7723.619047619048,units,strong,0.747013661337993,922.2857142857143,linear_trend
white onion,2026-01-01,8645.904761904763,units,strong,0.747013661337993,922.2857142857143,linear_trend
ramen,2025-11-01,1080.8666666666668,count,weak,0.05321571812280068,-30.08571428571428,linear_trend
ramen,2025-12-01,1050.7809523809526,count,weak,0.05321571812280068,-30.08571428571428,linear_trend
ramen,2026-01-01,1020.6952380952383,count,weak,0.05321571812280068,-30.08571428571428,linear_trend
carrot,2025-11-01,3400.666666666667,g,strong,0.747013661337993,461.14285714285717,linear_trend
carrot,2025-12-01,3861.809523809524,g,strong,0.747013661337993,461.14285714285717,linear_trend
carrot,2026-01-01,4322.952380952382,g,strong,0.747013661337993,461.14285714285717,linear_trend
peas,2025-11-01,3400.666666666667,g,strong,0.747013661337993,461.14285714285717,linear_trend
peas,2025-12-01,3861.809523809524,g,strong,0.747013661337993,461.14285714285717,linear_trend
peas,2026-01-01,4322.952380952382,g,strong,0.747013661337993,461.14285714285717,linear_trend
egg,2025-11-01,1067.2,count,weak,0.04892592142746721,24.057142857142857,linear_trend
egg,2025-12-01,1091.257142857143,count,weak,0.04892592142746721,24.057142857142857,linear_trend
egg,2026-01-01,1115.3142857142857,count,weak,0.04892592142746721,24.057142857142857,linear_trend
