ingredient,avg_forecasted_usage,min_forecast,max_forecast,trend_strength,r_squared,historical_avg,pct_change_from_historical
boychoy,40433.80952380952,39020.952380952374,41846.66666666666,weak,0.08220527737977457,46791.666666666664,-13.587584276809572
braised beef used,85372.0,81768.0,88976.0,weak,0.13180716690439442,101590.0,-15.964169701742298
braised chicken,81278.85714285714,80049.71428571429,82508.0,weak,0.01693030552392416,86810.0,-6.371550348050749
braised pork,69388.57142857142,66120.0,72657.14285714286,weak,0.16231067087094375,54680.0,26.899362524819715
carrot,3861.8095238095243,3400.666666666667,4322.952380952382,strong,0.747013661337993,1786.6666666666667,116.14605543710024
cilantro,28203.04761904762,27320.761904761905,29085.333333333332,weak,0.06475832146850335,32173.333333333332,-12.34029956781718
egg,1091.257142857143,1067.2,1115.3142857142857,weak,0.04892592142746721,983.0,11.012934166545572
green onion,35926.666666666664,35886.666666666664,35966.666666666664,weak,0.00011161651541735651,35746.666666666664,0.5035434539350988
peas,3861.8095238095243,3400.666666666667,4322.952380952382,strong,0.747013661337993,1786.6666666666667,116.14605543710024
pickle cabbage,12039.523809523811,7622.380952380954,16456.666666666668,moderate,0.6326299453247209,31916.666666666668,-62.27825438269302
ramen,1050.7809523809526,1020.6952380952383,1080.8666666666668,weak,0.05321571812280068,1186.1666666666667,-11.413717657921662
rice,135163.33333333334,119023.33333333334,151303.33333333334,strong,0.747013661337993,62533.333333333336,116.14605543710022
rice noodles,107811.42857142858,103602.85714285716,112020.0,weak,0.0983737067285817,126750.0,-14.941673710904475
white onion,7723.619047619049,6801.333333333334,8645.904761904763,strong,0.747013661337993,3573.3333333333335,116.14605543710024
